               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1194,            0.030429,                   0,           0.0082918,              0.5443,             0.01195,           0.0021458,             0.10281,             0.02418,                   0,              0.0937,              0.0007,              0.0007
                   1,            0.097126,            0.026469,                   0,             0.20947,             0.24051,             0.14068,            0.039938,            0.081393,            0.019973,                   0,            0.086495,            0.001495,            0.001495
                   2,            0.078226,            0.024815,                   0,             0.30641,             0.49367,             0.28066,            0.078262,            0.075522,            0.018467,                   0,            0.079285,           0.0022848,           0.0022848
                   3,            0.069131,            0.020589,                   0,             0.36527,             0.40506,             0.43291,             0.13547,            0.070141,            0.017271,                   0,            0.072069,           0.0030693,           0.0030693
                   4,            0.063597,            0.019161,                   0,             0.52972,             0.44304,              0.4791,             0.17766,            0.068904,            0.015571,                   0,            0.064849,           0.0038485,           0.0038485
                   5,            0.058247,            0.019542,                   0,             0.71204,             0.56962,             0.65228,             0.20636,            0.057513,             0.01477,                   0,            0.057622,           0.0046225,           0.0046225
                   6,            0.068185,             0.01665,                   0,             0.40613,             0.59494,             0.36137,              0.1451,            0.069309,            0.011009,                   0,            0.050391,           0.0053911,           0.0053911
                   7,            0.065469,            0.018205,                   0,             0.64515,              0.5754,             0.57662,             0.16064,            0.066201,            0.014199,                   0,            0.043154,           0.0061545,           0.0061545
                   8,            0.059066,             0.01698,                   0,             0.66717,             0.48101,             0.51045,             0.20019,            0.058828,            0.012666,                   0,            0.035913,           0.0069126,           0.0069126
                   9,            0.054468,            0.018355,                   0,             0.40941,             0.51899,             0.35795,             0.12437,            0.062094,            0.011719,                   0,            0.028665,           0.0076654,           0.0076654
                  10,            0.055204,             0.01658,                   0,             0.50322,             0.59494,             0.44257,             0.19687,            0.050725,            0.011685,                   0,            0.021413,           0.0084129,           0.0084129
                  11,            0.047229,            0.017053,                   0,             0.57315,             0.65823,             0.54485,             0.26965,            0.044867,            0.011011,                   0,            0.014155,           0.0091552,           0.0091552
                  12,            0.045286,            0.016195,                   0,             0.79479,             0.65823,              0.7472,             0.35329,            0.050984,           0.0090936,                   0,            0.009604,            0.009604,            0.009604
                  13,            0.050734,            0.012874,                   0,              0.8063,             0.63229,             0.76379,              0.4047,            0.044671,           0.0096903,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.041788,            0.014983,                   0,             0.69501,              0.6962,             0.65156,             0.36917,            0.038414,             0.01095,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.041754,            0.011724,                   0,             0.76982,             0.80438,             0.82165,             0.41116,            0.036317,            0.009915,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.039737,            0.012889,                   0,              0.7566,             0.77215,             0.78968,             0.49071,            0.037922,           0.0079969,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.037003,            0.012507,                   0,             0.88416,             0.77295,             0.88054,             0.54337,            0.032309,            0.007695,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.035412,           0.0098333,                   0,              0.8896,             0.81607,             0.88617,             0.52529,            0.036159,           0.0072731,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.038007,            0.010309,                   0,             0.93775,             0.75949,             0.88656,             0.56706,            0.032585,           0.0067432,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.032217,            0.010055,                   0,             0.92583,             0.79013,             0.91072,             0.55511,            0.029668,             0.00661,                   0,            0.009373,            0.009373,            0.009373
