               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1228,            0.030424,                   0,             0.00219,            0.025316,           0.0023438,          0.00041811,             0.11897,             0.02553,                   0,              0.0973,              0.0003,              0.0003
                   1,             0.11166,            0.028744,                   0,            0.063387,             0.11392,            0.043031,           0.0077376,            0.095755,             0.02167,                   0,            0.093699,          0.00069885,          0.00069885
                   2,            0.092395,            0.025651,                   0,             0.27351,             0.24051,             0.18292,            0.040762,            0.079426,            0.019398,                   0,            0.090096,           0.0010964,           0.0010964
                   3,            0.082652,            0.023674,                   0,             0.26283,             0.27848,              0.1875,            0.050772,            0.075325,            0.018149,                   0,            0.086493,           0.0014926,           0.0014926
                   4,            0.075817,            0.022262,                   0,              0.1368,              0.3038,             0.10703,            0.032493,             0.08496,            0.018521,                   0,            0.082887,           0.0018875,           0.0018875
                   5,            0.069988,            0.021535,                   0,             0.18148,             0.32911,             0.15828,            0.061573,            0.071017,            0.023338,                   0,            0.079281,            0.002281,            0.002281
                   6,            0.066409,            0.020228,                   0,             0.31713,             0.24051,             0.24402,            0.095854,            0.066282,            0.026385,                   0,            0.075673,           0.0026733,           0.0026733
                   7,            0.063739,            0.020116,                   0,              0.4127,             0.31646,             0.29496,             0.11279,            0.069713,            0.029886,                   0,            0.072064,           0.0030642,           0.0030642
                   8,            0.059907,             0.02013,                   0,             0.35446,             0.35443,             0.25804,            0.069781,            0.074077,            0.025269,                   0,            0.068454,           0.0034538,           0.0034538
                   9,            0.058545,             0.01825,                   0,             0.69046,             0.42359,             0.49507,             0.14264,            0.063048,            0.019827,                   0,            0.064842,           0.0038421,           0.0038421
                  10,            0.054388,            0.018642,                   0,             0.73703,             0.40506,              0.5457,             0.25184,            0.065283,            0.017414,                   0,            0.061229,            0.004229,            0.004229
                  11,            0.055135,            0.018483,                   0,             0.60342,             0.53933,             0.56094,             0.19013,            0.058189,            0.016597,                   0,            0.057615,           0.0046147,           0.0046147
                  12,            0.051183,            0.017414,                   0,             0.45218,             0.56425,             0.48522,             0.14766,            0.060784,            0.012337,                   0,            0.053999,            0.004999,            0.004999
                  13,            0.046878,             0.01698,                   0,             0.57301,             0.59494,             0.55383,             0.18456,             0.05694,            0.012306,                   0,            0.050382,            0.005382,            0.005382
                  14,            0.048925,            0.016053,                   0,             0.48317,             0.76921,             0.55294,             0.27621,            0.050999,           0.0093668,                   0,            0.046764,           0.0057637,           0.0057637
                  15,            0.048489,            0.015249,                   0,             0.61856,             0.78481,             0.66969,             0.34483,            0.047026,           0.0099075,                   0,            0.043144,           0.0061441,           0.0061441
                  16,            0.045186,            0.016602,                   0,             0.78403,             0.72152,             0.79677,             0.39769,             0.04404,           0.0095685,                   0,            0.039523,           0.0065231,           0.0065231
                  17,            0.046795,            0.013586,                   0,             0.64221,             0.81013,             0.77942,             0.46373,            0.038009,           0.0084564,                   0,            0.035901,           0.0069008,           0.0069008
                  18,             0.04294,            0.013119,                   0,             0.80572,              0.6962,             0.77941,             0.39608,            0.046275,           0.0080287,                   0,            0.032277,           0.0072772,           0.0072772
                  19,            0.042001,            0.012597,                   0,             0.57311,             0.67977,             0.56217,             0.26146,            0.042918,           0.0083749,                   0,            0.028652,           0.0076523,           0.0076523
                  20,            0.040395,             0.01273,                   0,             0.59343,             0.83544,             0.71883,             0.45139,            0.035309,           0.0077849,                   0,            0.025026,           0.0080261,           0.0080261
                  21,            0.040302,            0.012172,                   0,              0.5512,              0.8481,              0.6406,             0.30691,            0.041927,           0.0071194,                   0,            0.021399,           0.0083985,           0.0083985
                  22,            0.042431,            0.011506,                   0,             0.80933,             0.80598,             0.85294,             0.44228,             0.04056,           0.0078045,                   0,             0.01777,           0.0087697,           0.0087697
                  23,            0.042077,            0.011524,                   0,             0.87999,             0.83536,             0.90494,             0.52462,            0.037523,           0.0077623,                   0,            0.014139,           0.0091395,           0.0091395
                  24,            0.038004,            0.011021,                   0,             0.83187,             0.87686,              0.9178,             0.56823,            0.033664,           0.0078987,                   0,            0.010508,            0.009508,            0.009508
                  25,            0.037611,           0.0097926,                   0,              0.6831,             0.82278,             0.75626,             0.41717,            0.036692,           0.0083699,                   0,           0.0095875,           0.0095875,           0.0095875
                  26,            0.032938,            0.010748,                   0,             0.81979,              0.7486,             0.82035,             0.45107,            0.040116,           0.0087555,                   0,           0.0095875,           0.0095875,           0.0095875
                  27,            0.037738,           0.0099272,                   0,             0.79378,             0.70886,             0.79948,             0.46491,            0.037501,           0.0080991,                   0,            0.009571,            0.009571,            0.009571
                  28,            0.032861,            0.010131,                   0,             0.78853,             0.80243,             0.80715,             0.44596,            0.035705,           0.0088859,                   0,           0.0095545,           0.0095545,           0.0095545
                  29,            0.037026,           0.0092553,                   0,             0.81394,             0.77528,             0.82292,             0.49755,            0.034203,           0.0069377,                   0,            0.009538,            0.009538,            0.009538
                  30,             0.03256,           0.0088368,                   0,             0.87627,             0.77215,             0.85326,             0.50191,            0.037407,           0.0074327,                   0,           0.0095215,           0.0095215,           0.0095215
                  31,            0.034016,           0.0097053,                   0,             0.82332,             0.78481,             0.81226,             0.51576,            0.032994,           0.0070954,                   0,            0.009505,            0.009505,            0.009505
                  32,            0.031698,           0.0098314,                   0,             0.91043,             0.79747,             0.85771,              0.5674,            0.031211,           0.0067248,                   0,           0.0094885,           0.0094885,           0.0094885
                  33,            0.028379,           0.0085571,                   0,             0.87188,             0.94757,             0.92244,             0.65398,            0.029803,           0.0058116,                   0,            0.009472,            0.009472,            0.009472
                  34,            0.027615,           0.0086446,                   0,             0.89013,             0.91139,             0.94543,             0.64366,            0.027941,           0.0055702,                   0,           0.0094555,           0.0094555,           0.0094555
                  35,              0.0281,           0.0082513,                   0,             0.92414,             0.92521,             0.95411,             0.62677,            0.027069,           0.0057346,                   0,            0.009439,            0.009439,            0.009439
                  36,            0.026086,           0.0070899,                   0,             0.90209,             0.89873,             0.92913,              0.5801,            0.027152,           0.0060878,                   0,           0.0094225,           0.0094225,           0.0094225
                  37,            0.027146,           0.0080521,                   0,             0.84617,             0.90519,             0.93344,             0.60452,            0.026504,           0.0060595,                   0,            0.009406,            0.009406,            0.009406
                  38,            0.026118,            0.007448,                   0,             0.93708,             0.91139,             0.95725,             0.70244,             0.02473,           0.0053929,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.024949,           0.0072052,                   0,             0.94623,             0.92405,             0.94822,             0.67969,            0.027581,           0.0057027,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.027405,           0.0074291,                   0,             0.89589,             0.92405,             0.92321,             0.64456,            0.026526,           0.0057527,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,              0.0291,           0.0074117,                   0,             0.91851,             0.89873,             0.93071,             0.67834,            0.024179,           0.0054559,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.028478,           0.0078409,                   0,              0.9206,             0.91139,             0.91276,             0.68331,            0.024174,             0.00581,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.025309,           0.0068113,                   0,             0.92026,             0.87649,             0.89286,             0.65613,            0.023594,           0.0061347,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.023841,           0.0072924,                   0,             0.90082,             0.92405,             0.92211,             0.67541,            0.021788,           0.0055618,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.025427,           0.0069165,                   0,             0.86279,             0.96203,             0.92933,             0.65259,            0.020803,           0.0051327,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.022365,           0.0062021,                   0,              0.9203,             0.97468,             0.95619,             0.70157,            0.021387,           0.0048613,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.024544,           0.0067708,                   0,              0.9376,             0.93671,             0.95403,             0.70941,            0.022273,           0.0049527,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.024675,           0.0058773,                   0,             0.91591,             0.96513,             0.94435,             0.71976,            0.020832,           0.0048133,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.023335,           0.0066111,                   0,             0.93478,             0.97468,             0.94464,             0.73265,             0.01976,           0.0045351,                   0,            0.009208,            0.009208,            0.009208
                  50,            0.024561,           0.0066212,                   0,             0.94438,             0.96203,             0.95808,             0.70836,             0.02007,           0.0043784,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.023406,           0.0058569,                   0,             0.96094,             0.93435,             0.96684,             0.72872,            0.021558,           0.0044102,                   0,            0.009175,            0.009175,            0.009175
                  52,            0.023528,           0.0063983,                   0,             0.94821,             0.93671,             0.96281,             0.77323,            0.018988,            0.004573,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.022353,           0.0057007,                   0,             0.94937,             0.94933,             0.95646,             0.72009,            0.020101,           0.0046418,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.023681,           0.0067536,                   0,             0.94506,             0.91139,             0.94984,             0.70541,            0.023375,           0.0047485,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.023126,           0.0063142,                   0,             0.94699,             0.92405,             0.93971,             0.72168,            0.020758,           0.0047546,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.024314,           0.0063057,                   0,             0.94644,             0.89469,              0.9421,             0.67772,            0.022249,            0.004833,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.023678,           0.0069269,                   0,             0.97326,             0.92139,             0.95283,             0.73163,            0.020421,           0.0046056,                   0,            0.009076,            0.009076,            0.009076
                  58,            0.020941,           0.0061935,                   0,             0.90876,             0.96203,              0.9399,             0.75515,            0.017719,           0.0046526,                   0,           0.0090595,           0.0090595,           0.0090595
                  59,            0.022667,           0.0065583,                   0,             0.89734,             0.92405,             0.94516,             0.75887,             0.01899,           0.0049468,                   0,            0.009043,            0.009043,            0.009043
                  60,            0.020458,           0.0061069,                   0,             0.94853,             0.93308,             0.93305,             0.76909,             0.01925,           0.0049759,                   0,           0.0090265,           0.0090265,           0.0090265
                  61,            0.023527,           0.0059646,                   0,             0.98505,             0.93671,             0.93183,             0.72088,            0.021147,           0.0051732,                   0,             0.00901,             0.00901,             0.00901
                  62,            0.021874,           0.0062397,                   0,             0.98471,             0.92405,             0.94576,             0.75384,            0.018931,           0.0049614,                   0,           0.0089935,           0.0089935,           0.0089935
                  63,            0.019572,           0.0060718,                   0,             0.94727,             0.96203,             0.96152,             0.79089,            0.017374,           0.0043823,                   0,            0.008977,            0.008977,            0.008977
                  64,            0.019491,           0.0062043,                   0,             0.97318,              0.9186,              0.9496,             0.78801,            0.016725,           0.0044939,                   0,           0.0089605,           0.0089605,           0.0089605
                  65,            0.021078,           0.0057065,                   0,             0.98189,             0.91139,             0.95049,             0.76146,            0.017832,           0.0046697,                   0,            0.008944,            0.008944,            0.008944
                  66,            0.020273,           0.0060353,                   0,             0.94937,             0.94936,              0.9595,             0.76999,            0.019405,           0.0044905,                   0,           0.0089275,           0.0089275,           0.0089275
                  67,            0.022154,           0.0059055,                   0,              0.9539,             0.91139,              0.9409,             0.75057,            0.019981,           0.0048597,                   0,            0.008911,            0.008911,            0.008911
                  68,            0.021102,           0.0056084,                   0,             0.95873,             0.92405,             0.96237,             0.78912,            0.018433,           0.0047148,                   0,           0.0088945,           0.0088945,           0.0088945
                  69,            0.021984,           0.0059912,                   0,             0.97129,             0.92405,             0.96118,             0.78156,            0.017959,           0.0046773,                   0,            0.008878,            0.008878,            0.008878
                  70,            0.021261,           0.0061111,                   0,             0.97178,             0.92405,             0.95011,             0.77484,            0.018217,           0.0043257,                   0,           0.0088615,           0.0088615,           0.0088615
                  71,            0.019561,           0.0061571,                   0,              0.9706,             0.92405,             0.95518,             0.78518,            0.017672,           0.0044056,                   0,            0.008845,            0.008845,            0.008845
                  72,            0.019052,           0.0058366,                   0,             0.97393,             0.94578,             0.97003,             0.77802,            0.017084,           0.0042275,                   0,           0.0088285,           0.0088285,           0.0088285
                  73,            0.020895,           0.0064696,                   0,             0.96094,             0.94937,             0.97114,             0.81363,            0.015783,           0.0040271,                   0,            0.008812,            0.008812,            0.008812
                  74,            0.021993,           0.0063685,                   0,             0.96199,             0.96203,             0.96492,              0.7877,            0.017295,           0.0041616,                   0,           0.0087955,           0.0087955,           0.0087955
                  75,            0.019391,           0.0059804,                   0,             0.94949,             0.96203,             0.96283,             0.78564,            0.017919,           0.0043183,                   0,            0.008779,            0.008779,            0.008779
                  76,            0.021567,           0.0057684,                   0,             0.91313,             0.97468,             0.95279,             0.78679,            0.018823,           0.0042609,                   0,           0.0087625,           0.0087625,           0.0087625
                  77,            0.018055,           0.0058232,                   0,             0.94976,             0.95728,             0.95281,             0.72098,            0.019634,           0.0042904,                   0,            0.008746,            0.008746,            0.008746
                  78,             0.02061,            0.005482,                   0,             0.95138,             0.94937,             0.96751,             0.76859,            0.017132,           0.0043627,                   0,           0.0087295,           0.0087295,           0.0087295
                  79,             0.01982,           0.0053981,                   0,             0.97148,             0.94937,              0.9628,             0.78155,             0.01748,            0.004622,                   0,            0.008713,            0.008713,            0.008713
                  80,            0.019096,           0.0059301,                   0,             0.98448,             0.93671,             0.96944,             0.82065,            0.016333,           0.0042675,                   0,           0.0086965,           0.0086965,           0.0086965
                  81,             0.01877,           0.0055118,                   0,             0.94868,             0.93591,             0.96766,             0.80577,            0.018165,           0.0041392,                   0,             0.00868,             0.00868,             0.00868
                  82,            0.019979,           0.0056901,                   0,             0.94308,             0.94937,             0.95915,             0.80343,            0.017845,           0.0040116,                   0,           0.0086635,           0.0086635,           0.0086635
                  83,            0.018924,            0.005506,                   0,             0.92548,             0.97468,             0.96294,              0.8083,            0.016298,           0.0039274,                   0,            0.008647,            0.008647,            0.008647
                  84,            0.019229,           0.0054964,                   0,             0.96742,             0.94937,              0.9764,             0.82936,            0.015855,            0.003819,                   0,           0.0086305,           0.0086305,           0.0086305
                  85,            0.017801,           0.0055015,                   0,             0.97259,             0.94937,              0.9704,              0.8232,            0.016222,           0.0037424,                   0,            0.008614,            0.008614,            0.008614
                  86,            0.017921,           0.0058889,                   0,             0.97089,             0.96203,              0.9685,             0.83087,            0.016527,           0.0037689,                   0,           0.0085975,           0.0085975,           0.0085975
                  87,             0.01895,           0.0053534,                   0,              0.9847,             0.96203,             0.97613,             0.83867,            0.015186,           0.0035889,                   0,            0.008581,            0.008581,            0.008581
                  88,            0.016874,           0.0055308,                   0,             0.96208,             0.97468,             0.97839,             0.80659,             0.01648,           0.0036221,                   0,           0.0085645,           0.0085645,           0.0085645
                  89,            0.018828,           0.0055136,                   0,             0.95983,             0.94937,             0.97401,              0.7938,            0.017188,           0.0039622,                   0,            0.008548,            0.008548,            0.008548
                  90,            0.020022,           0.0058557,                   0,             0.96693,             0.96203,             0.97537,             0.81558,            0.015181,           0.0038823,                   0,           0.0085315,           0.0085315,           0.0085315
                  91,            0.018771,              0.0054,                   0,             0.97366,             0.93587,             0.96578,             0.81587,            0.016197,           0.0041351,                   0,            0.008515,            0.008515,            0.008515
                  92,            0.017843,           0.0053097,                   0,             0.94682,             0.94937,             0.95453,             0.79606,            0.017106,           0.0041618,                   0,           0.0084985,           0.0084985,           0.0084985
                  93,            0.018048,           0.0055168,                   0,             0.94121,             0.92405,             0.95069,             0.79875,            0.017375,           0.0045502,                   0,            0.008482,            0.008482,            0.008482
                  94,            0.017527,           0.0050514,                   0,             0.95653,             0.89873,              0.9349,             0.81531,            0.017023,           0.0047767,                   0,           0.0084655,           0.0084655,           0.0084655
                  95,            0.018791,           0.0054698,                   0,             0.95524,             0.91139,             0.94195,              0.8083,            0.017035,            0.004454,                   0,            0.008449,            0.008449,            0.008449
                  96,            0.017138,           0.0059335,                   0,               0.958,             0.92405,             0.93587,             0.81631,            0.016351,           0.0044861,                   0,           0.0084325,           0.0084325,           0.0084325
                  97,            0.019423,           0.0053476,                   0,             0.96008,             0.92405,             0.93239,             0.80377,            0.016326,           0.0049589,                   0,            0.008416,            0.008416,            0.008416
                  98,            0.016868,           0.0053073,                   0,              0.9328,             0.94937,             0.95493,             0.81124,            0.016743,           0.0042323,                   0,           0.0083995,           0.0083995,           0.0083995
                  99,            0.017715,             0.00539,                   0,             0.94787,             0.94937,             0.96202,             0.82194,            0.016131,           0.0041381,                   0,            0.008383,            0.008383,            0.008383
                 100,            0.017831,           0.0053963,                   0,             0.96471,             0.89873,             0.95324,             0.81163,            0.016752,           0.0044658,                   0,           0.0083665,           0.0083665,           0.0083665
                 101,            0.015694,           0.0048264,                   0,             0.93869,             0.92405,             0.94872,             0.80732,            0.017115,           0.0043936,                   0,             0.00835,             0.00835,             0.00835
                 102,            0.020047,           0.0057134,                   0,             0.92288,             0.93671,             0.94821,             0.81052,            0.017396,           0.0043704,                   0,           0.0083335,           0.0083335,           0.0083335
                 103,            0.018832,           0.0055124,                   0,             0.95753,             0.92405,             0.95743,             0.81705,            0.015868,           0.0042921,                   0,            0.008317,            0.008317,            0.008317
                 104,            0.016499,             0.00561,                   0,             0.93745,              0.9485,             0.95025,              0.8172,             0.01587,           0.0043859,                   0,           0.0083005,           0.0083005,           0.0083005
                 105,             0.01778,            0.005136,                   0,             0.94638,             0.94937,              0.9593,             0.82231,             0.01565,           0.0040573,                   0,            0.008284,            0.008284,            0.008284
                 106,            0.018935,           0.0056535,                   0,             0.96189,             0.95859,             0.97184,             0.81015,            0.016129,            0.003742,                   0,           0.0082675,           0.0082675,           0.0082675
                 107,            0.015829,           0.0054219,                   0,             0.97328,             0.94937,               0.971,             0.83649,            0.014975,           0.0037141,                   0,            0.008251,            0.008251,            0.008251
                 108,            0.016131,           0.0049156,                   0,             0.95956,             0.94937,             0.97676,             0.84467,             0.01512,           0.0038318,                   0,           0.0082345,           0.0082345,           0.0082345
                 109,            0.015206,           0.0049638,                   0,             0.94662,             0.96203,             0.97184,             0.82497,              0.0151,           0.0039537,                   0,            0.008218,            0.008218,            0.008218
                 110,            0.017284,           0.0053387,                   0,             0.95804,             0.94937,             0.96968,             0.83112,            0.015351,           0.0038998,                   0,           0.0082015,           0.0082015,           0.0082015
                 111,            0.016878,           0.0050734,                   0,             0.93788,             0.96203,             0.96611,             0.82115,            0.015668,           0.0041525,                   0,            0.008185,            0.008185,            0.008185
                 112,            0.014761,            0.004914,                   0,             0.93709,             0.94937,             0.96314,             0.82232,            0.015067,           0.0040686,                   0,           0.0081685,           0.0081685,           0.0081685
                 113,            0.017388,           0.0052567,                   0,             0.97356,             0.93241,             0.96451,             0.82516,            0.015078,           0.0039376,                   0,            0.008152,            0.008152,            0.008152
                 114,            0.017531,           0.0057659,                   0,             0.94858,             0.93671,             0.96302,             0.81454,            0.015066,           0.0041863,                   0,           0.0081355,           0.0081355,           0.0081355
                 115,            0.018053,           0.0053452,                   0,             0.98663,             0.93448,             0.97045,             0.83385,            0.014725,            0.004044,                   0,            0.008119,            0.008119,            0.008119
                 116,            0.015964,           0.0054063,                   0,             0.97412,             0.95285,             0.97687,             0.81771,            0.015516,           0.0038009,                   0,           0.0081025,           0.0081025,           0.0081025
                 117,            0.016295,           0.0049396,                   0,             0.94783,             0.94937,             0.96956,             0.81872,             0.01548,           0.0039254,                   0,            0.008086,            0.008086,            0.008086
                 118,            0.016666,           0.0054886,                   0,             0.92496,             0.96203,             0.97232,             0.83078,            0.015549,           0.0039238,                   0,           0.0080695,           0.0080695,           0.0080695
                 119,            0.019309,           0.0049614,                   0,             0.94822,             0.92727,             0.95235,             0.78252,            0.018045,           0.0042338,                   0,            0.008053,            0.008053,            0.008053
                 120,            0.015846,           0.0048886,                   0,             0.93098,             0.92405,             0.93823,             0.76015,            0.017169,           0.0047593,                   0,           0.0080365,           0.0080365,           0.0080365
                 121,            0.015479,           0.0052782,                   0,             0.94126,             0.88608,             0.93192,             0.78158,            0.017183,           0.0048457,                   0,             0.00802,             0.00802,             0.00802
                 122,            0.017179,           0.0055486,                   0,              0.9218,             0.92405,             0.93617,             0.80696,            0.016809,           0.0045742,                   0,           0.0080035,           0.0080035,           0.0080035
                 123,            0.015323,            0.005097,                   0,             0.96005,             0.92405,             0.93931,             0.82434,            0.016563,           0.0045154,                   0,            0.007987,            0.007987,            0.007987
                 124,            0.016849,           0.0049625,                   0,             0.94622,             0.92405,             0.94427,             0.82465,            0.016515,           0.0046654,                   0,           0.0079705,           0.0079705,           0.0079705
                 125,            0.015552,           0.0051604,                   0,               0.948,             0.92304,             0.94071,              0.8131,            0.015427,           0.0044074,                   0,            0.007954,            0.007954,            0.007954
                 126,            0.015802,           0.0053487,                   0,             0.92477,             0.94937,             0.94879,             0.81331,            0.016034,           0.0041988,                   0,           0.0079375,           0.0079375,           0.0079375
                 127,            0.017193,           0.0055009,                   0,             0.94687,             0.94937,             0.95539,             0.82596,            0.016281,           0.0040097,                   0,            0.007921,            0.007921,            0.007921
                 128,            0.017256,           0.0050127,                   0,              0.9471,             0.94937,             0.94444,              0.8077,            0.016911,           0.0041376,                   0,           0.0079045,           0.0079045,           0.0079045
                 129,             0.01637,           0.0052475,                   0,             0.94629,             0.92405,             0.94252,             0.82092,            0.016761,            0.004664,                   0,            0.007888,            0.007888,            0.007888
