               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11415,            0.029748,                   0,             0.13778,              0.1519,            0.078537,             0.01161,            0.093389,            0.022377,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.085494,            0.025135,                   0,             0.41522,             0.26071,              0.2433,            0.051037,             0.08439,            0.017677,                   0,             0.07209,           0.0030898,           0.0030898
                   2,            0.075983,            0.020769,                   0,               0.512,             0.40506,             0.40336,             0.14458,             0.07069,            0.016812,                   0,            0.057669,            0.004669,            0.004669
                   3,            0.072641,            0.017412,                   0,             0.24331,             0.37447,             0.19846,            0.059815,            0.077123,            0.012242,                   0,            0.043238,           0.0062376,           0.0062376
                   4,            0.063214,            0.019067,                   0,             0.60416,              0.3038,             0.35146,            0.098205,            0.070666,            0.013731,                   0,            0.028796,           0.0077957,           0.0077957
                   5,             0.06013,            0.020529,                   0,             0.74515,             0.35443,             0.48248,             0.17975,            0.062744,            0.011744,                   0,            0.014343,           0.0093433,           0.0093433
                   6,            0.056359,            0.020646,                   0,             0.58643,             0.48466,             0.52301,             0.18425,            0.064581,            0.011549,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.058031,            0.016936,                   0,             0.47616,             0.60759,             0.49142,             0.22506,            0.048627,            0.011638,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.046522,            0.016704,                   0,             0.46838,             0.81013,              0.5798,             0.27832,            0.043474,            0.012132,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045838,            0.015539,                   0,              0.6952,             0.72152,             0.74678,             0.36307,            0.041209,           0.0089939,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.04838,            0.013823,                   0,             0.73156,             0.65823,             0.73614,             0.43185,            0.038474,           0.0082924,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.040651,            0.014695,                   0,             0.76738,             0.64557,             0.73792,             0.35895,            0.040852,           0.0092541,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.038682,            0.012973,                   0,             0.84587,             0.76419,             0.88022,             0.54221,            0.030094,           0.0069182,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.037953,             0.01129,                   0,              0.8754,             0.89873,              0.9082,              0.6401,            0.028364,           0.0065658,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.036719,            0.012175,                   0,             0.81805,             0.88608,             0.88647,             0.62075,            0.028614,           0.0065121,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.034391,            0.010572,                   0,             0.89439,             0.85765,             0.91798,             0.64687,            0.026854,           0.0062842,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.034444,            0.010158,                   0,             0.91843,             0.85515,             0.93213,             0.63843,            0.028743,            0.005734,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036481,            0.010922,                   0,             0.97181,             0.87263,             0.94823,             0.63718,            0.024783,           0.0055172,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.030479,           0.0091295,                   0,              0.9077,             0.89873,             0.94799,             0.62066,            0.024322,           0.0054424,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.029825,           0.0097652,                   0,             0.86522,             0.93671,             0.94012,             0.66451,            0.023492,           0.0056341,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.028972,           0.0088915,                   0,             0.90082,             0.91979,             0.94948,             0.63042,            0.027352,           0.0053524,                   0,            0.009373,            0.009373,            0.009373
