               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11415,            0.029748,                   0,             0.13778,              0.1519,            0.078537,             0.01161,            0.093389,            0.022377,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.085504,            0.025119,                   0,              0.4022,              0.3038,             0.27913,            0.056444,            0.082001,            0.017789,                   0,            0.072094,           0.0030939,           0.0030939
                   2,            0.074014,            0.020674,                   0,             0.53736,             0.31646,             0.32206,            0.091585,            0.079022,             0.02004,                   0,            0.057681,           0.0046814,           0.0046814
                   3,            0.069527,              0.0177,                   0,             0.19183,             0.25316,             0.12857,            0.043111,            0.076567,            0.014122,                   0,            0.043263,           0.0062626,           0.0062626
                   4,            0.067496,            0.018797,                   0,             0.30047,             0.46835,             0.34599,             0.14228,            0.060994,            0.014371,                   0,            0.028837,           0.0078374,           0.0078374
                   5,            0.062338,            0.020163,                   0,             0.26288,             0.54624,             0.33485,             0.16498,            0.056253,            0.013018,                   0,            0.014406,           0.0094059,           0.0094059
                   6,            0.064617,             0.01952,                   0,             0.32523,             0.50633,             0.35996,             0.17503,             0.05688,            0.012852,                   0,           0.0098812,           0.0098812,           0.0098812
                   7,            0.052354,            0.017688,                   0,             0.51162,             0.60759,             0.55967,             0.26861,            0.051752,            0.011748,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,            0.052633,            0.015945,                   0,              0.6074,             0.65823,             0.64438,             0.31373,            0.050707,           0.0090645,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.048802,            0.015559,                   0,             0.68846,             0.79747,             0.68353,             0.37308,            0.043361,           0.0085607,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.046683,            0.014135,                   0,             0.77195,             0.68561,             0.79277,             0.44565,            0.039513,           0.0080342,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.039648,            0.014524,                   0,             0.83817,             0.78481,             0.85266,             0.56902,            0.032286,           0.0076853,                   0,            0.009802,            0.009802,            0.009802
                  12,            0.037719,            0.013384,                   0,             0.81742,             0.79345,             0.87553,              0.5668,            0.030423,           0.0068066,                   0,           0.0097822,           0.0097822,           0.0097822
                  13,             0.03505,            0.011913,                   0,             0.77931,             0.87342,             0.89536,             0.52389,            0.032621,            0.006425,                   0,           0.0097624,           0.0097624,           0.0097624
                  14,            0.037648,            0.012167,                   0,             0.75207,             0.93671,             0.88613,             0.57608,            0.029156,           0.0063606,                   0,           0.0097426,           0.0097426,           0.0097426
                  15,            0.033985,            0.011006,                   0,             0.90207,             0.81013,             0.92063,             0.60268,            0.027154,           0.0063872,                   0,           0.0097228,           0.0097228,           0.0097228
                  16,            0.032482,            0.010363,                   0,             0.88284,             0.88608,             0.92964,             0.66855,            0.027158,           0.0060197,                   0,            0.009703,            0.009703,            0.009703
                  17,            0.030568,            0.011207,                   0,             0.90991,             0.88608,             0.94112,             0.69417,            0.023847,           0.0056263,                   0,           0.0096832,           0.0096832,           0.0096832
                  18,            0.032072,           0.0090638,                   0,             0.92833,             0.92405,             0.93876,             0.64504,            0.026948,           0.0055854,                   0,           0.0096634,           0.0096634,           0.0096634
                  19,            0.035395,           0.0099097,                   0,             0.94585,             0.92405,             0.95409,             0.65688,            0.023939,           0.0055156,                   0,           0.0096436,           0.0096436,           0.0096436
                  20,            0.031791,           0.0090195,                   0,             0.93903,             0.89873,             0.94524,             0.66615,             0.02309,           0.0055658,                   0,           0.0096238,           0.0096238,           0.0096238
                  21,            0.031042,            0.009158,                   0,             0.92491,             0.92405,             0.95638,             0.71783,            0.023817,           0.0052435,                   0,            0.009604,            0.009604,            0.009604
                  22,            0.028298,           0.0087303,                   0,             0.90355,             0.91139,             0.94857,             0.73391,            0.023798,           0.0052104,                   0,           0.0095842,           0.0095842,           0.0095842
                  23,            0.026894,           0.0087396,                   0,             0.89047,             0.92622,              0.9441,             0.75336,            0.022534,           0.0050048,                   0,           0.0095644,           0.0095644,           0.0095644
                  24,            0.025281,           0.0080834,                   0,             0.93556,              0.9189,             0.93834,             0.73415,            0.022448,           0.0050135,                   0,           0.0095446,           0.0095446,           0.0095446
                  25,            0.027646,           0.0080433,                   0,             0.89091,             0.93041,             0.94187,             0.70249,            0.022126,            0.005034,                   0,           0.0095248,           0.0095248,           0.0095248
                  26,             0.03066,           0.0085512,                   0,             0.90824,             0.91139,             0.94416,             0.69592,            0.022591,           0.0049543,                   0,            0.009505,            0.009505,            0.009505
                  27,            0.029148,           0.0084522,                   0,             0.88987,             0.93671,             0.93693,             0.68132,            0.023069,              0.0048,                   0,           0.0094852,           0.0094852,           0.0094852
                  28,            0.026079,           0.0080826,                   0,             0.91586,             0.88608,             0.94705,             0.70557,            0.020579,           0.0049455,                   0,           0.0094654,           0.0094654,           0.0094654
                  29,            0.029103,           0.0081186,                   0,             0.90826,             0.92405,             0.94187,             0.73858,            0.020417,           0.0049435,                   0,           0.0094456,           0.0094456,           0.0094456
                  30,            0.026683,           0.0074218,                   0,             0.89973,             0.90867,             0.93821,             0.73577,            0.019411,           0.0046396,                   0,           0.0094258,           0.0094258,           0.0094258
                  31,            0.023204,           0.0071397,                   0,             0.87045,             0.93559,             0.94118,             0.68234,            0.023949,           0.0046542,                   0,            0.009406,            0.009406,            0.009406
                  32,            0.030444,           0.0079889,                   0,             0.93302,              0.8817,             0.94256,             0.67253,            0.022546,            0.004771,                   0,           0.0093862,           0.0093862,           0.0093862
                  33,            0.025632,            0.007727,                   0,             0.90548,             0.92405,             0.94535,             0.68709,            0.020645,           0.0046423,                   0,           0.0093664,           0.0093664,           0.0093664
                  34,            0.024385,           0.0070993,                   0,             0.91281,             0.96203,             0.95305,             0.70314,            0.020941,           0.0045338,                   0,           0.0093466,           0.0093466,           0.0093466
                  35,            0.024297,           0.0076676,                   0,             0.88427,             0.94937,             0.95589,             0.79672,            0.017312,           0.0043368,                   0,           0.0093268,           0.0093268,           0.0093268
                  36,            0.023121,           0.0076187,                   0,             0.91214,             0.92405,             0.96093,             0.74292,            0.019534,           0.0043877,                   0,            0.009307,            0.009307,            0.009307
                  37,            0.024878,           0.0068441,                   0,             0.89059,             0.96203,             0.92943,             0.73669,            0.019041,           0.0046105,                   0,           0.0092872,           0.0092872,           0.0092872
                  38,            0.024104,            0.006875,                   0,             0.89239,              0.9448,             0.92708,             0.73246,            0.019982,           0.0045189,                   0,           0.0092674,           0.0092674,           0.0092674
                  39,            0.024459,           0.0069521,                   0,              0.8979,             0.96203,             0.94797,             0.74575,             0.01914,           0.0046165,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,            0.023147,           0.0072714,                   0,             0.92072,             0.94937,             0.95219,             0.78551,            0.019285,           0.0044005,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025349,           0.0068679,                   0,              0.9363,             0.93671,             0.94991,             0.73389,            0.019663,            0.004494,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.028359,           0.0085235,                   0,              0.8938,             0.93671,             0.93795,             0.79238,            0.016703,            0.004453,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.025201,           0.0076153,                   0,             0.89563,             0.94937,             0.93813,             0.78526,            0.016783,           0.0044501,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.023026,            0.006447,                   0,             0.88979,             0.94937,             0.95295,             0.79546,            0.016399,            0.004365,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,             0.02202,           0.0066672,                   0,             0.90351,             0.96203,             0.95491,             0.74262,            0.018687,           0.0043502,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.023409,           0.0064542,                   0,             0.92033,             0.93671,             0.94863,             0.76542,            0.018811,           0.0043176,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.023295,            0.006329,                   0,             0.94826,             0.91139,             0.95975,             0.78936,            0.017387,            0.004355,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.022239,           0.0059039,                   0,             0.92572,             0.94657,             0.95686,             0.76624,            0.018855,           0.0044084,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.022158,           0.0063652,                   0,             0.94568,             0.93671,             0.95219,             0.76896,            0.018659,           0.0043266,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.023782,            0.006177,                   0,             0.94619,             0.93671,             0.95391,             0.78428,            0.016251,           0.0041882,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.020597,           0.0060171,                   0,             0.94553,             0.93671,             0.95456,             0.78631,            0.015986,           0.0040828,                   0,             0.00901,             0.00901,             0.00901
                  52,             0.02222,           0.0058163,                   0,             0.94448,             0.96203,             0.94571,             0.77221,            0.017155,           0.0044229,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.021546,           0.0064992,                   0,             0.93985,             0.91139,              0.9417,             0.75367,            0.018266,           0.0045971,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.021635,           0.0062507,                   0,             0.89852,             0.89667,             0.91635,             0.75132,            0.019576,           0.0047345,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.020005,           0.0063444,                   0,             0.89831,             0.92405,             0.94307,              0.7721,            0.019234,           0.0042655,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021468,           0.0061556,                   0,              0.9585,             0.89873,              0.9512,             0.75945,            0.018023,           0.0043906,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.022291,           0.0062982,                   0,             0.96037,             0.92038,             0.95597,             0.77599,            0.017636,           0.0043919,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.021097,           0.0064827,                   0,             0.93384,             0.93671,             0.95353,             0.77274,            0.017105,           0.0043015,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.020615,           0.0059955,                   0,             0.91429,             0.94521,              0.9542,             0.79211,            0.016427,            0.004221,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.019941,           0.0056504,                   0,             0.89029,             0.96203,             0.94133,              0.7564,            0.017565,           0.0043965,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.021404,           0.0067112,                   0,             0.90214,             0.93671,             0.94594,             0.79078,            0.016925,           0.0042081,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.020197,           0.0060562,                   0,              0.9249,             0.93541,             0.95388,             0.78771,            0.017114,           0.0041174,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.019608,           0.0059727,                   0,             0.95789,             0.89873,             0.95677,             0.79564,            0.016345,           0.0041119,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.020595,            0.005781,                   0,               0.914,             0.94173,             0.96043,             0.81159,            0.016892,           0.0043124,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,            0.019441,           0.0055683,                   0,             0.92078,             0.94937,             0.96637,             0.78377,            0.016494,           0.0040914,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.020701,             0.00545,                   0,             0.96829,             0.92405,             0.95703,             0.80723,            0.015863,           0.0040993,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.020895,           0.0064846,                   0,             0.97849,             0.89873,             0.95868,             0.78506,            0.018152,           0.0040849,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.018437,           0.0055381,                   0,              0.9488,             0.93839,             0.95963,             0.81747,            0.016478,           0.0037701,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.018901,           0.0056546,                   0,             0.97662,             0.96203,             0.96334,             0.81487,             0.01554,            0.003814,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.017984,           0.0055685,                   0,             0.97394,             0.94611,              0.9553,              0.7893,            0.016555,           0.0041331,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.018563,           0.0060958,                   0,             0.97143,             0.94937,             0.95062,             0.79549,            0.015763,             0.00377,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.020961,           0.0069932,                   0,             0.97344,               0.928,             0.94789,             0.75608,            0.016489,           0.0038554,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.017849,           0.0057871,                   0,             0.97331,             0.92405,             0.95013,             0.81331,            0.015325,           0.0039083,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.017854,           0.0060661,                   0,             0.97127,             0.94937,             0.96586,              0.8125,            0.015453,           0.0041786,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,             0.01934,           0.0060815,                   0,             0.98416,             0.96203,               0.959,             0.81405,            0.016979,           0.0041651,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.020217,           0.0059736,                   0,             0.97432,             0.96064,             0.96435,             0.82094,            0.015897,            0.004004,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.017187,           0.0055644,                   0,             0.98682,             0.94797,             0.97015,             0.81321,            0.016092,           0.0039299,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.018271,           0.0055508,                   0,             0.96977,             0.94937,             0.96496,             0.80823,            0.016226,           0.0038859,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.019393,           0.0056777,                   0,              0.9487,             0.93644,             0.95925,             0.82563,            0.014838,           0.0041144,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.018308,           0.0056215,                   0,              0.9499,             0.95999,             0.96798,             0.83433,            0.015221,           0.0038234,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.017557,           0.0051861,                   0,             0.93625,             0.96203,             0.96212,             0.83717,            0.014038,            0.003859,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.017732,           0.0053255,                   0,             0.96987,             0.92405,             0.95852,             0.82183,            0.014942,           0.0040061,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,             0.01774,           0.0053559,                   0,             0.97342,             0.92734,             0.94495,             0.82068,            0.016299,           0.0041756,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.018425,           0.0056997,                   0,              0.9694,             0.94937,             0.95178,              0.8178,            0.015546,           0.0041367,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.019099,           0.0057486,                   0,             0.93538,             0.94937,             0.94513,             0.82638,              0.0158,           0.0040487,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.017214,           0.0056838,                   0,             0.95498,             0.92405,             0.94537,             0.82198,            0.016453,           0.0040937,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.016837,           0.0059077,                   0,             0.94849,              0.9323,             0.93745,              0.8028,             0.01753,           0.0043585,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.018565,           0.0054796,                   0,              0.9345,             0.94937,             0.93666,             0.82517,            0.016137,           0.0044072,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.020246,           0.0063682,                   0,             0.94566,             0.93671,             0.94402,             0.79939,            0.016869,           0.0040755,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.016772,           0.0055987,                   0,             0.93289,             0.93671,             0.94947,             0.82509,            0.016011,           0.0037614,                   0,           0.0082378,           0.0082378,           0.0082378
